Transactions,,,,,,,
User,,,,,,,
,,,,,,,
Timestamp,Transaction Type,Asset,Quantity Transacted,USD Spot Price at Transaction,USD Amount Transacted (Inclusive of Coinbase Fees),Address,Notes
10/06/2015,Buy,BTC,1,247.26,249.73,,
10/07/2015,Buy,BTC,3,245.47,743.77,,
10/12/2015,Buy,BTC,4,248.89,1005.52,,
10/12/2015,Receive,BTC,0.001,248.07,0.24807,,
10/12/2015,Send,BTC,0.001,247.76,0.24776,,
10/12/2015,Receive,BTC,0.003,248.02,0.74406,,
10/12/2015,Send,BTC,0.003,247.39,0.74217,,
10/12/2015,Receive,BTC,0.00694214,246.79,1.71,,
11/26/2015,Sell,BTC,8,342.11,2700,,
05/24/2017,Buy,ETH,1.21855962,199.33,246.52,,
05/31/2017,Buy,ETH,9.66415249,230.59,2261.61,,
05/31/2017,Buy,ETH,6,229.59,1398.08,,
06/12/2017,Send,ETH,0.10048038,371.66,37.34,,
06/12/2017,Send,ETH,0.10047163,383.49,38.53,,
06/12/2017,Send,ETH,16.6817601,395.81,6602.81,,
02/01/2018,Buy,LTC,7.82768791,125.88,1000,,
