Transactions,,,,,,,,,,,,,,,,,,,,,
User,fakeboi@fakeyboi.net,cafebabe,,,,,,,,,,,,,,,,,,,
Account,BTC Wallet,deadbeef,,,,,,,,,,,,,,,,,,,

Timestamp,Balance,Amount,Currency,To,Notes,Instantly Exchanged,Transfer Total,Transfer Total Currency,Transfer Fee,Transfer Fee Currency,Transfer Payment Method,Transfer ID,Order Price,Order Currency,Order BTC,Order Tracking Code,Order Custom Parameter,Order Paid Out,Recurring Payment ID,Coinbase ID (visit https://www.coinbase.com/transactions/[ID] in your browser),Bitcoin Hash (visit https://www.coinbase.com/tx/[HASH] in your browser for more info)
5/6/07 1:12,1,1,BTC,cafebabe,,FALSE,275,USD,7.46,USD,,,,,,,,,,deadbeef,deadbeef
5/19/07 1:12,3,2,BTC,cafebabe,,FALSE,72.34,USD,3.67,USD,,,,,,,,,,deadbeef,deadbeef
6/1/07 1:12,5.5,2.5,BTC,cafebabe,,FALSE,104.25,USD,6.69,USD,,,,,,,,,,deadbeef,deadbeef
6/14/07 1:12,5.6,0.1,BTC,,,FALSE,,,,,,,,,,,,,,deadbeef,deadbeef
6/27/07 1:12,5.5,-0.1,BTC,cafebabe,,FALSE,,,,,,,,,,,,,,deadbeef,deadbeef
7/10/07 1:12,5.7,0.2,BTC,,,FALSE,,,,,,,,,,,,,,deadbeef,deadbeef
7/23/07 1:12,5.2,-0.5,BTC,cafebabe,,FALSE,,,,,,,,,,,,,,deadbeef,deadbeef
8/5/07 1:12,9.2,4,BTC,,,FALSE,,,,,,,,,,,,,,deadbeef,deadbeef
8/18/07 1:12,13.2,4,BTC,cafebabe,,FALSE,2048,USD,11.11,USD,,,,,,,,,,deadbeef,deadbeef
8/31/07 1:12,17.2,4,BTC,cafebabe,,FALSE,97,USD,11.12,USD,,,,,,,,,,deadbeef,deadbeef
9/13/07 1:12,24.2,7,BTC,cafebabe,,FALSE,102.34,USD,14.98,USD,,,,,,,,,,deadbeef,deadbeef
9/26/07 1:12,25.2,1,BTC,cafebabe,,FALSE,,,,,,,,,,,,,,deadbeef,deadbeef
10/9/07 1:12,25.3,0.1,BTC,,,FALSE,,,,,,,,,,,,,,deadbeef,deadbeef
10/22/07 1:12,29.3,4,BTC,cafebabe,,FALSE,45.6,USD,31.9,USD,,,,,,,,,,deadbeef,deadbeef
11/4/07 1:12,28.3,-1,BTC,cafebabe,,FALSE,,,,,,,,,,,,,,deadbeef,deadbeef
11/17/07 1:12,21.3,-7,BTC,cafebabe,,FALSE,,,,,,,,,,,,,,deadbeef,deadbeef
11/30/07 1:12,17.3,-4,BTC,cafebabe,,FALSE,,,,,,,,,,,,,,deadbeef,deadbeef
12/13/07 1:12,25.3,8,BTC,cafebabe,,FALSE,13.2,USD,32.25,USD,,,,,,,,,,deadbeef,deadbeef
12/26/07 1:12,28.3,3,BTC,cafebabe,,FALSE,98.04,USD,9.54,USD,,,,,,,,,,deadbeef,deadbeef
1/8/08 1:12,32.3,4,BTC,cafebabe,,FALSE,,,,,,,,,,,,,,deadbeef,deadbeef
1/21/08 1:12,28.3,-4,BTC,cafebabe,,FALSE,,,,,,,,,,,,,,deadbeef,deadbeef
2/3/08 1:12,38.53,10.23,BTC,cafebabe,,FALSE,203,USD,92.2,USD,,,,,,,,,,deadbeef,deadbeef
2/16/08 1:12,18.03,-20.5,BTC,cafebabe,,FALSE,,,,,,,,,,,,,,deadbeef,deadbeef
2/29/08 1:12,15.63,-2.4,BTC,cafebabe,,FALSE,,,,,,,,,,,,,,deadbeef,deadbeef
3/13/08 1:12,20.864,5.234,BTC,cafebabe,,FALSE,302,USD,30.4,USD,,,,,,,,,,deadbeef,deadbeef
3/26/08 1:12,21.856,0.992,BTC,cafebabe,,FALSE,,,,,,,,,,,,,,deadbeef,deadbeef
4/8/08 1:12,24.388,2.532,BTC,cafebabe,,FALSE,1776.76,USD,17.56,USD,,,,,,,,,,deadbeef,deadbeef
4/21/08 1:12,18.128,-6.26,BTC,cafebabe,,FALSE,1993.93,USD,48.44,USD,,,,,,,,,,deadbeef,deadbeef
