Date,Time (UTC),Type,Symbol,Specification,Liquidity Indicator,Trading Fee Rate (bps),USD Amount USD,Trading Fee (USD) USD,USD Balance USD,BTC Amount BTC,Trading Fee (BTC) BTC,BTC Balance BTC,ETH Amount ETH,Trading Fee (ETH) ETH,ETH Balance ETH,ZEC Amount ZEC,ZEC Balance ZEC,BCH Amount BCH,Trading Fee (BCH) BCH,BCH Balance BCH,LTC Amount LTC,Trading Fee (LTC) LTC,LTC Balance LTC,Trade ID,Order ID,Order Date,Order Time,Client Order ID,API Session,Tx Hash,Deposit Tx Output,Withdrawal Destination,Withdrawal Tx Output
8/8/08,07:46.1,Credit,USD,Deposit (ACH Transfer),,,$250.00 ,,$250.00 ,,,0.0 BTC ,,,0.0 ETH ,,0.0 ZEC ,,,0.0 BCH ,,,0.0 LTC ,,,,,,,,,,
8/9/08,27:56.1,Buy,BTCUSD,Limit,Maker,25,($53.62),($0.13),$196.25 ,20.2092 BTC ,,0.2092 BTC ,,,0.0 ETH ,,0.0 ZEC ,,,0.0 BCH ,,,0.0 LTC ,,,,,,,,,,
8/10/08,27:56.4,Buy,BTCUSD,Limit,Maker,25,($86.90),($0.22),$109.13 ,0.339 BTC ,,0.5482 BTC ,,,0.0 ETH ,,0.0 ZEC ,,,0.0 BCH ,,,0.0 LTC ,,,,,,,,,,
8/11/08,28:09.1,Buy,BTCUSD,Limit,Maker,25,($82.79),($0.21),$26.13 ,0.323 BTC ,,0.8712 BTC ,,,0.0 ETH ,,0.0 ZEC ,,,0.0 BCH ,,,0.0 LTC ,,,,,,,,,,
8/12/08,34:49.2,Credit,BTC,Deposit (Pre-Credited BTC),,,,,$26.13 ,0.4 BTC ,,0.4 BTC ,,,0.0 ETH ,,0.0 ZEC ,,,0.0 BCH ,,,0.0 LTC ,,,,,,,,,,
8/13/08,04:26.8,Sell,BTCUSD,Limit,Maker,25,$595.36 ,($1.49),$620.00 ,(0.04290503 BTC),,0.35709497 BTC ,,,0.0 ETH ,,0.0 ZEC ,,,0.0 BCH ,,,0.0 LTC ,,,,,,,,,,
8/14/08,04:27.9,Sell,BTCUSD,Limit,Maker,25,"$4,941.11 ",($12.35),"$5,548.76 ",(0.35608537 BTC),,0.0010096 BTC ,,,0.0 ETH ,,0.0 ZEC ,,,0.0 BCH ,,,0.0 LTC ,,,,,,,,,,
8/15/08,04:33.1,Sell,BTCUSD,Limit,Maker,25,$14.01 ,($0.04),"$5,562.74 ",(0.0010096 BTC),,0.0 BTC ,,,0.0 ETH ,,0.0 ZEC ,,,0.0 BCH ,,,0.0 LTC ,,,,,,,,,,
8/16/08,05:30.5,Debit,USD,Withdrawal (ACH Transfer),,,"($5,536.60)",($13.84),$12.29 ,,,0.0 BTC ,,,0.0 ETH ,,0.0 ZEC ,,,0.0 BCH ,,,0.0 LTC ,,,,,,,,,,
8/17/08,26:50.5,Credit,BTC,Deposit (BTC),,,,,$12.29 ,0.5 BTC ,,0.5 BTC ,,,0.0 ETH ,,0.0 ZEC ,,,0.0 BCH ,,,0.0 LTC ,,,,,,,,,,
8/18/08,56:38.5,Sell,BTCUSD,Limit,Taker,25,"$7,050.00 ",($17.63),"$7,044.67 ",(0.5 BTC),,0.0 BTC ,,,0.0 ETH ,,0.0 ZEC ,,,0.0 BCH ,,,0.0 LTC ,,,,,,,,,,
8/19/08,57:15.9,Debit,USD,Withdrawal (ACH Transfer),,,"($7,032.37)",($17.58),($5.28),,,0.0 BTC ,,,0.0 ETH ,,0.0 ZEC ,,,0.0 BCH ,,,0.0 LTC ,,,,,,,,,,
8/20/08,30:07.2,Sell,BTCUSD,Limit,Taker,25,$497.44 ,($1.24),$490.91 ,(0.035 BTC),,0.28644134 BTC ,,,0.0 ETH ,,0.0 ZEC ,,,0.0 BCH ,,,0.0 LTC ,,,,,,,,,,
8/21/08,30:08.7,Sell,BTCUSD,Limit,Maker,25,$499.51 ,($1.25),$989.18 ,(0.03518002 BTC),,0.25126132 BTC ,,,0.0 ETH ,,0.0 ZEC ,,,0.0 BCH ,,,0.0 LTC ,,,,,,,,,,
8/22/08,30:10.1,Sell,BTCUSD,Limit,Maker,25,$489.45 ,($1.22),"$1,477.40 ",(0.03447186 BTC),,0.21678946 BTC ,,,0.0 ETH ,,0.0 ZEC ,,,0.0 BCH ,,,0.0 LTC ,,,,,,,,,,
8/23/08,30:10.9,Sell,BTCUSD,Limit,Maker,25,$150.19 ,($0.38),"$1,627.22 ",(0.01057786 BTC),,0.2062116 BTC ,,,0.0 ETH ,,0.0 ZEC ,,,0.0 BCH ,,,0.0 LTC ,,,,,,,,,,
8/24/09,30:11.6,Sell,BTCUSD,Limit,Maker,25,$496.95 ,($1.24),"$2,122.92 ",(0.035 BTC),,0.1712116 BTC ,,,0.0 ETH ,,0.0 ZEC ,,,0.0 BCH ,,,0.0 LTC ,,,,,,,,,,
,,,,,,,Totals,($159.07),$0.01 ,,0.0 BTC ,0.0 BTC ,,0.0 ETH ,0.0 ETH ,,0.0 ZEC ,,0.0 BCH ,0.0 BCH ,,0.0 LTC ,0.0 LTC ,,,,,,,,,,
